X,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
,COTTONWOOD,2018-Q2,2.53E+05,4/1/2018,1049.722926,202400,290.95,1340.672926,53626.91705,0.474938035
,COVINA,2018-Q2,5.21E+05,4/1/2018,2161.68239,416800,599.15,2760.83239,110433.2956,0.293567176
,CRESTLINE,2018-Q2,244950,4/1/2018,1016.322651,195960,281.6925,1298.015151,51920.60606,0.527416933
,CUPERTINO,2018-Q2,2.21E+06,4/1/2018,9169.516471,1.77E+06,2541.5,11711.01647,468440.6588,0.172253827
,CYPRESS,2018-Q2,650500,4/1/2018,2698.99116,520400,748.075,3447.06616,137882.6464,0.278006198
,DALY CITY,2018-Q2,1.00E+06,4/1/2018,4149.102476,8.00E+05,1150,5299.102476,211964.099,0.10198633
,DANA POINT,2018-Q2,1.05E+06,4/1/2018,4356.557599,8.40E+05,1207.5,5564.057599,222562.304,0.172410151
,DANVILLE,2018-Q2,1.32E+06,4/1/2018,5476.815268,1.06E+06,1518,6994.815268,279792.6107,0.287386949
,DAVIS,2018-Q2,715750,4/1/2018,2969.720097,572600,823.1125,3792.832597,151713.3039,0.242242539
,DEL MAR,2018-Q2,1.85E+06,4/1/2018,7675.83958,1.48E+06,2127.5,9803.33958,392133.5832,0.125396341
,DESERT HOT SPRINGS,2018-Q2,2.20E+05,4/1/2018,912.8025446,1.76E+05,253,1165.802545,46632.10178,0.369302515
,DIAMOND BAR,2018-Q2,642500,4/1/2018,2665.798341,5.14E+05,738.875,3404.673341,136186.9336,0.334389082
,DINUBA,2018-Q2,2.36E+05,4/1/2018,979.1881842,188800,271.4,1250.588184,50023.52737,0.41248539
,DISCOVERY BAY,2018-Q2,6.00E+05,4/1/2018,2489.461485,4.80E+05,690,3179.461485,127178.4594,0.44551458
,DIXON,2018-Q2,4.47E+05,4/1/2018,1854.648807,357600,514.05,2368.698807,94747.95226,0.398049901
,DOWNEY,2018-Q2,5.50E+05,4/1/2018,2282.006362,4.40E+05,632.5,2914.506362,116580.2545,0.234236124
,DUARTE,2018-Q2,5.27E+05,4/1/2018,2186.577005,421600,606.05,2792.627005,111705.0802,0.311604024
,DUBLIN,2018-Q2,9.15E+05,4/1/2018,3796.428765,7.32E+05,1052.25,4848.678765,193947.1506,0.303376519
,EAST PALO ALTO,2018-Q2,9.80E+05,4/1/2018,4066.120426,7.84E+05,1127,5193.120426,207724.817,0.080868856
,EASTVALE,2018-Q2,586500,4/1/2018,2433.448602,469200,674.475,3107.923602,124316.9441,0.465587058
,EL CERRITO,2018-Q2,9.85E+05,4/1/2018,4086.865938,7.88E+05,1132.75,5219.615938,208784.6375,0.270034176
,EL DORADO HILLS,2018-Q2,6.50E+05,4/1/2018,2696.916609,5.20E+05,747.5,3444.416609,137776.6644,0.507104246
,EL MONTE,2018-Q2,5.30E+05,4/1/2018,2199.024312,4.24E+05,609.5,2808.524312,112340.9725,0.130751801
,ELK GROVE,2018-Q2,4.30E+05,4/1/2018,1784.114064,3.44E+05,494.5,2278.614064,91144.56258,0.497300324
,ENCINITAS,2018-Q2,1.02E+06,4/1/2018,4211.339013,8.12E+05,1167.25,5378.589013,215143.5605,0.20593935
,ESCONDIDO,2018-Q2,5.25E+05,4/1/2018,2178.2788,4.20E+05,603.75,2782.0288,111281.152,0.224721759
