"","region","Price2018-Q3","Price2018-Q2","principal2018-Q3","pmt2018-Q3","t_i2018-Q3","pti2018-Q3","min_inc2018-Q3","HAI2018-Q3","principal2018-Q2","pmt2018-Q2","t_i2018-Q2","pti2018-Q2","min_inc2018-Q2","HAI2018-Q2","Price2017-Q3","principal2017-Q3","pmt2017-Q3","t_i2017-Q3","pti2017-Q3","min_inc2017-Q3","HAI2017-Q3"
"56","BELLA VISTA",408000,310000,326400,1706.59391122287,469.2,2175.79391122287,87031.7564489148,0.323099650657534,248000,1296.67674627228,356.5,1653.17674627228,66127.0698508912,0.465294325679911,535000,428000,2237.81309437313,615.25,2853.06309437313,114122.523774925,0.189676658551967
"57","BELLFLOWER",480000,515000,384000,2007.75754261514,552,2559.75754261514,102390.301704606,0.221049661321042,412000,2154.1565300975,592.25,2746.4065300975,109856.2612039,0.193058220464472,1600000,1280000,6692.52514205048,1840,8532.52514205048,341301.005682019,0.0139420471546476
"58","BELMONT",1805000,1761750,1444000,7550.00492587569,2075.75,9625.75492587569,385030.197035028,0.171711967111737,1409400,7369.09760562964,2026.0125,9395.11010562964,375804.404225186,0.174399926625658,1600000,1280000,6692.52514205048,1840,8532.52514205048,341301.005682019,0.17928581549423
"59","BELVEDERE",3150000,3300000,2520000,13175.9088734119,3622.5,16798.4088734119,671936.354936475,0,2640000,13803.3331054791,3795,17598.3331054791,703933.324219164,0,3300000,2640000,13803.3331054791,3795,17598.3331054791,703933.324219164,0
"60","BEN LOMOND",810000,801000,648000,3388.09085316305,931.5,4319.59085316305,172783.634126522,0.124681284330403,640800,3350.44539923902,921.15,4271.59539923902,170863.815969561,0.127595346700876,785500,628400,3285.6115619254,903.325,4188.9365619254,167557.462477016,0.169064069935521
"61","BENBOW",1200000,655000,960000,5019.39385653786,1380,6399.39385653786,255975.754261514,0.0343788917555278,524000,2739.75248002691,753.25,3493.00248002691,139720.099201076,0.0690378434362055,549000,439200,2296.37268936607,631.35,2927.72268936607,117108.907574643,0.0523064744247105
"62","BENICIA",675000,655000,540000,2823.40904430254,776.25,3599.65904430254,143986.361772102,0.315552646751175,524000,2739.75248002691,753.25,3493.00248002691,139720.099201076,0.328709535229252,549000,439200,2296.37268936607,631.35,2927.72268936607,117108.907574643,0.389975823048922
"63","BERKELEY",1220000,1325000,976000,5103.05042081349,1403,6506.05042081349,260242.016832539,0.126862330928142,1060000,5542.24738326055,1523.75,7065.99738326055,282639.895330422,0.118447968390505,1160000,928000,4852.08072798659,1334,6186.08072798659,247443.229119464,0.111451509489674
"64","BERMUDA DUNES",360000,328921.5,288000,1505.81815696136,414,1919.81815696136,76792.7262784543,0.439341614609029,263137.2,1375.82213031935,378.259725,1754.08185531935,70163.2742127739,0.480374166638923,350000,280000,1463.98987482354,402.5,1866.48987482354,74659.5949929417,0.417664547464479
"65","BERRY CREEK",212500,227500,170000,888.850995428579,244.375,1133.22599542858,45329.0398171432,0.458313660767721,182000,951.593418635302,261.625,1213.2184186353,48528.7367454121,0.40395504925066,180000,144000,752.909078480678,207,959.909078480678,38396.3631392271,0.549280077676502
"66","BETHEL ISLAND",574500,499900,459600,2403.0348088175,660.675,3063.7098088175,122548.3923527,0.130289398746544,399920,2090.9958240694,574.885,2665.8808240694,106635.232962776,0.18836826959655,424000,339200,1773.51916264338,487.6,2261.11916264338,90444.7665057351,0.245445931038691
"67","BEVERLY HILLS",1385000,1099500,1108000,5793.21707608744,1592.75,7385.96707608744,295438.683043498,0.205675101162269,879600,4599.01962105281,1264.425,5863.44462105281,234537.784842112,0.244719684557128,5387500,4310000,22534.9870017481,6195.625,28730.6120017481,1149224.48006992,0
"68","BIEBER",211000,1e+05,168800,882.576753107906,242.65,1125.22675310791,45009.0701243163,0.424746028805543,80000,418.282821378155,115,533.282821378155,21331.3128551262,0.714741058402179,85500,68400,357.631812278322,98.325,455.956812278322,18238.2724911329,0.793203318485745
"69","BIG BEAR CITY",227125,283000,181700,950.024858055134,261.19375,1211.21860805513,48448.7443222054,0.518932959803191,226400,1183.74038450018,325.45,1509.19038450018,60367.6153800071,0.424142485204154,220000,176000,920.22220703194,253,1173.22220703194,46928.8882812776,0.479250268030986
"70","BIG BEAR LAKE",364450,472500,291560,1524.43174251268,419.1175,1943.54924251268,77741.9697005074,0.343113714215753,378000,1976.38633101178,543.375,2519.76133101178,100790.453240471,0.246269268963067,289500,231600,1210.92876788976,332.925,1543.85376788976,61754.1507155903,0.390056812736766
